ID,Title,Location,Salary,Summary
,Data Scientist 신입 채용,서울 역삼동,,"우순순위에 따른 다양한 모델 개발(ex: 수요예측, 추천/랭킹시스템, 가격최적화) 자격요건 • R/ Python 기반 로그성 데이터 분석과 모델 개발 경험이 있으신 분 • 통계학, 머신러닝 관련 내용을 이해하고 활용가능..."
,PM(서비스/개발),서울 영등포구,,"Data Science 제반 지식, AWS/GCP 등 Cloud 기반 서비스 관련 프로젝트 업무 경험 - Python, JAVA, RESTAPI, Database 등 개발 관련 언어/기술 이해 역량 우대 - AWS, GCP..."
,빅데이터플랫폼 엔지니어 모집,성남 판교역,,"랫폼 아키텍처 설계 및 구현 경험 (3년 이상) B. Linux 쉘 스크립팅 개발/운영 경험 C. Java, Python, SQL 기반 개발 및 프로그래밍 경험 D. RDBMS 데이터 설계 및 SQL 기반 개발 경험 (데이터..."
,블록체인 기반 신규 서비스 개발자 (신입/경력),서울 금천구,,PHP |인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>API|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL
,[넥슨코리아] Devops 엔지니어 (데이터 파이프라인),경기도 성남,,"Azure, GCP 등 클라우드 환경에서 업무 경험이 있으신 분 - Shell Script, SQL, Python, Go 등 한 개 이상의 언어로 개발이 가능하신 분 - 최신 기술 동향을 놓치지 않고, 문제를 해결함에..."
,데이터 플랫폼 백엔드 개발자 모집,서울 구로구,,"GCP 환경의 플랫폼 개발 및 운영 - 데이터 파이프라인 구성 및 운영 자격요건 - Java, Python 중 하나 이상의 언어에 익숙한 분 - 자료구조, 알고리즘, 운영체제 등 전산 기초 지식이 있는 분 - SQL..."
,[클라우드플랫폼실] System Engineering팀 클라우드 엔지니어,서울 강남구,,라우드|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>ERP·시스템분석...
,AI 기술 영상합성 Post Processing 개발자,서울 중구,,"기반의 영상인식기술 개발 경험 - Python, C/C++ 기반 영상처리... 채화 스타일 등)[필수역량] - 이미지 프로세싱 기술 개발 경험 - Python, C/C++ 기반 영상처리 개발경험(3) 3D 모델링 기술 개발 업무..."
,[카카오메이커스] 퍼포먼스 마케터 모집,성남 삼평동,,"커머스 업계에서 2년 이상 실무를 하며 인사이트를 갖추신 분 - 분석언어 활용 역량을 보유하신 분 (SQL, Python 등) - 서비스 내 자발적인 프로젝트를 통해 유의미한 Growth를 만들어 낸 경험이 있으신 분 전형..."
,[CJ Olivenetworks/경력] AI연구소 AI/ML 연구/개발(Data Scientist),서울 용산구,,SQL|인터넷·IT·통신·모바일·게임>응용프로그래머>API|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>웹기획·웹마케...
,웹 크롤러 전문가,서울 중구,,"Kubernetes 등 데이터 처리 경험- Elasticsearch, RDBMS(MySQL) 운영 경험- Python, Java, Scala 등 개발 숙련자- Linux 시스템 개발 및 운영 경험- OS/네트워크/자료구조 등..."
,[AI] NLP/ Chatbot Machine Learning Researcher (3년 이상),서울 강남구,,통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>응용프로그래...
,"Associate Software Engineer, gReach Program for Veterans (보훈...",서울,,"more programming languages (e.g., Python, C, C++, Java, JavaScript, etc.). Ability... C++, Java, C, Python, etc.). Experience..."
,클라우드 (플랫폼 운영),서울 마포구,,통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
,데이터센터 네트워크 엔지니어 모집,성남 판교역,,"있으신 분 네트워크 가상화 구축 경험이 있으신 분 장비 BMT 등 TEST 경험이 많으신 분 bash, python 등을 이용한 인프라 관리 자동화 스크립트 가능하신 분 인프라 운영 및 관리 관련 Tool 개발/경험이 있으신..."
